_uid_,nombre,descripcion,categoria,area_accion
"1",Un Limón sin sabor,"Se compartirá¡ una imagen de un bien patrimonial que desapareció (preferiblemente imagen en fachada y completar en planta). La idea es sensibilizar a la comunidad sobre su patrimonio y su importancia. Contemplar sellos y nota al pie de la imagen manipulada para dejar en claro que se trata de una campaña de concientización. También se puede adaptar a música, por ejemplo: video de música calypso y vidrio sin música",Proyecto,Educación
"2",Conozcamos nuestra historia patrimonial,Incluir en la malla curricular del circuito primero de Limón la temática patrimonial en las áreas de Estudios Sociales y Cívica,Proyecto,Educación
"3",Juego Didáctico Virtual,Es un juego didáctico en el que aparezcan los diferentes tipos de patrimonio y sus hacedores de cultura.,Proyecto,Divulgación y promoción
"4",Homenaje a los calypsonians de Puerto Limón,"Filmación de entrevistas. Posible concierto (si se hiciera un concierto, sería bueno ponerlo en redes sociales y que los calypsonians ganen dinero por las canciones solicitadas a la plataforma. Grabación de las canciones en estudio de grabación",Proyecto,Divulgación y promoción
"5",Gigantografías del Patrimonio Limonense,"Es una imagen visual del patrimonio limonense en fotografía gigante con un antes y después o a la inversa con un ahora y un después. Propósito es generar un interés colectivo en la población por proteger, hablar y conservar nuestra tradición.",Proyecto,Educación
"6",Challenge,"Una ruta de retos que involucran sitios patrimoniales donde los niños y jóvenes realicen dichos retos relacionados a los patrimonios, incluyendo bailes, fotos, canto, poesía, etc. y el uso de redes sociales como tik tok.",Proyecto,Divulgación y promoción
"7",Cartas audiovisuales con diversas temáticas,Cartas a la cultura limonense: Estilo de vida (historias). Comida,Proyecto,Divulgación y promoción
"8",Experiencia Agro-gastronómica (Curso gastronómico),"Experiencias Agro-gastronómicas. Módulo básico: curso de 18 semanas. Enseñar al público recetas tradicionales y típicas de la zona, así como la historia de ella, involucrando las costumbres alrededor de los platillos. Utilizando productos propios de la zona. Rescate de los saberes, subproducto: material audiovisual con este conocimiento. Unión familiar.",Proyecto,Educación
"9",Creación de la política local de cultura en el Cantón de Limón,"Crear una poí­tica local vinculante con las instituciones públicas y un plan estratégico a 5 años coordinado con el gobierno local, Ministerio de Cultura y Juventud, TEC, etc.",Proyecto,Otro
"10",,"Visitación a los colegios - escuelas y comunidades para los niños: afrodecendiente, oriental, indígena. Actividad cuento_ que los niños hagan las ilustraciones",Proyecto,Educación
"11",Iniciativa 2,"Challenge (colegiales y universitarios y los jóvenes que no están en el sistema educativo)_IG - TikTok, el paso más original en danza, canciones rapear, dar un tema qué les darás de herencia a tus hijos sobre Limón, que tengan que crear algo o el rescate de un recurso patrimonial de la música y el baile",Iniciativa,Educación
"12",Iniciativa 3,"Crónicas de vida, biografía de la vida (adultos)",Iniciativa,Educación
"13",Iniciativa 4,Homenaje a los Calipsonias de puerto Limón.,Iniciativa,Educación
"14",Iniciativa 5 ,Curso: Centro de formación humanística autodirigido TEC.,Iniciativa,Educación
