_uid_;codigo;denominacion;ambito_patrimonio
1;B-20;Cuenta cuentos Anancy;Artes del espectáculo
2;B-20;Cuenta cuentos Anancy;Tradiciones y expresiones orales
3;B-02;Gospel;Usos sociales, rituales y actos festivos
4;B-02;Gospel;Artes del espectáculo
5;D-04;Libros de literatura;No aplica
6;B-06;Carnavales de Limón;Usos sociales, rituales y actos festivos
7;;Festival de la Cultura Negra “Back to Our Roots”;Usos sociales, rituales y actos festivos
8;;Festival de la Cultura Negra “Back to Our Roots”;Artes del espectáculo
9;;Festival de la Cultura Negra “Back to Our Roots”;Usos sociales, rituales y actos festivos
10;;Festival de la Cultura Negra “Back to Our Roots”;Artes del espectáculo
11;A-38;Inglés criollo limonense;Tradiciones y expresiones orales
12;B-14;Pocomía;Usos sociales, rituales y actos festivos
13;D-01;Libros Historia;No aplica
14;C-01;Pintura Limonense;Técnicas artesanales tradicionales
15;C-02;Fotografía;Técnicas artesanales tradicionales
16;C-03;Artesanía;Técnicas artesanales tradicionales
17;B-22;Poetas limonenses;No aplica
18;B-15;Setup;Usos sociales, rituales y actos festivos
19;B-18;Buggy-buggy;Artes del espectáculo
20;D-07;Monografías;No aplica
21;E-02;Radio y televisión;No aplica
22;E-01;Filmes y videos;No aplica
23;A-39;Gastronomía;Técnicas artesanales tradicionales
24;B-03;Calypso;Artes del espectáculo
25;G-02;Servicios Turísticos;No aplica
26;B-16;Palo de Mayo;Artes del espectáculo
27;B-19;Teatro negro;Artes del espectáculo
28;B-21;Baile de la cuadrilla;Artes del espectáculo
29;B-17;Danza del dragón;Artes del espectáculo
30;B-01;Marchas Fúnebres;Usos sociales, rituales y actos festivos
31;B-10;Año Nuevo Limón;Usos sociales, rituales y actos festivos
32;D-02;Libros de arquitectura;No aplica
33;D-03;Libros de cultura;No aplica
34;F-01;Moda;Usos sociales, rituales y actos festivos
35;D-06;Revistas;No aplica
36;B-04;Parade de Gala;Usos sociales, rituales y actos festivos
37;B-05;Día Persona Negra;Usos sociales, rituales y actos festivos
38;B-08;Calypso Moonlight;Usos sociales, rituales y actos festivos
39;B-09;Día del Cantonato de Limón;Usos sociales, rituales y actos festivos
40;B-11;Feria del Mar Caribe;Usos sociales, rituales y actos festivos
41;B-12;Feria del Agricultor;Usos sociales, rituales y actos festivos
42;B-13;N-Raiz-arte;Usos sociales, rituales y actos festivos
43;G-01;Viajes contratados y servicios turísticos;No aplica
